antibody,source,study
BD55-1237,WT convalescents,imprinted_2022
BD55-1239,WT convalescents,imprinted_2022
BD55-1241,WT convalescents,imprinted_2022
BD55-1242,WT convalescents,imprinted_2022
BD55-1244,WT convalescents,imprinted_2022
BD55-1245,WT convalescents,imprinted_2022
BD55-1249,WT convalescents,imprinted_2022
BD55-1251,WT convalescents,imprinted_2022
BD55-1256,WT convalescents,imprinted_2022
BD55-1257,WT convalescents,imprinted_2022
BD55-1263,WT convalescents,imprinted_2022
BD55-1266,WT convalescents,imprinted_2022
BD55-1268,WT convalescents,imprinted_2022
BD55-1270,WT convalescents,imprinted_2022
BD55-1273,WT convalescents,imprinted_2022
BD55-1274,WT convalescents,imprinted_2022
BD55-1275,WT convalescents,imprinted_2022
BD55-1278,WT convalescents,imprinted_2022
BD55-1284,WT convalescents,imprinted_2022
BD55-1294,WT convalescents,imprinted_2022
BD55-1297,WT convalescents,imprinted_2022
BD55-1307,WT convalescents,imprinted_2022
BD55-1312,WT convalescents,imprinted_2022
BD55-1315,WT convalescents,imprinted_2022
BD55-1323,WT convalescents,imprinted_2022
BD55-1332,WT convalescents,imprinted_2022
BD55-1334,WT convalescents,imprinted_2022
BD55-1338,WT convalescents,imprinted_2022
BD55-1339,WT convalescents,imprinted_2022
BD55-1341,WT convalescents,imprinted_2022
BD55-1343,WT convalescents,imprinted_2022
BD55-1345,WT convalescents,imprinted_2022
BD55-1346,WT convalescents,imprinted_2022
BD55-1354,WT convalescents,imprinted_2022
BD55-1374,WT convalescents,imprinted_2022
BD55-1376,WT convalescents,imprinted_2022
BD55-1381,WT convalescents,imprinted_2022
BD55-1391,WT convalescents,imprinted_2022
BD55-1396,WT convalescents,imprinted_2022
BD55-1398,WT convalescents,imprinted_2022
BD55-1403,WT convalescents,imprinted_2022
BD55-1405,WT convalescents,imprinted_2022
BD55-1411,WT convalescents,imprinted_2022
BD55-1412,WT convalescents,imprinted_2022
BD55-1416,WT convalescents,imprinted_2022
BD55-1421,WT convalescents,imprinted_2022
BD55-1429,WT convalescents,imprinted_2022
BD55-1432,WT convalescents,imprinted_2022
BD55-1435,WT convalescents,imprinted_2022
BD55-1442,WT convalescents,imprinted_2022
BD55-1445,WT convalescents,imprinted_2022
BD55-1450,WT convalescents,imprinted_2022
BD55-1451,WT convalescents,imprinted_2022
BD55-1453,WT convalescents,imprinted_2022
BD55-1456,WT convalescents,imprinted_2022
BD55-1458,WT convalescents,imprinted_2022
BD55-1464,WT convalescents,imprinted_2022
BD55-1472,WT convalescents,imprinted_2022
BD55-1486,WT convalescents,imprinted_2022
BD55-1499,WT convalescents,imprinted_2022
BD55-1502,WT convalescents,imprinted_2022
BD55-1503,WT convalescents,imprinted_2022
BD55-1507,WT convalescents,imprinted_2022
BD55-1508,WT convalescents,imprinted_2022
BD55-1558,WT convalescents,imprinted_2022
BD55-1570,WT convalescents,imprinted_2022
BD55-1575,WT convalescents,imprinted_2022
BD55-1576,WT convalescents,imprinted_2022
BD55-1579,WT convalescents,imprinted_2022
BD55-1604,WT convalescents,imprinted_2022
BD55-1694,WT convalescents,imprinted_2022
BD55-1706,WT convalescents,imprinted_2022
BD55-1723,WT convalescents,imprinted_2022
BD55-1763,WT convalescents,imprinted_2022
BD55-1779,WT convalescents,imprinted_2022
BD55-1789,WT convalescents,imprinted_2022
BD55-1809,WT convalescents,imprinted_2022
BD55-1811,WT convalescents,imprinted_2022
BD55-1831,WT convalescents,imprinted_2022
BD55-1868,WT convalescents,imprinted_2022
BD55-1957,WT convalescents,imprinted_2022
BD55-1962,WT convalescents,imprinted_2022
BD55-1970,WT convalescents,imprinted_2022
BD55-199,WT convalescents,imprinted_2022
BD55-2101,SARS convalescents,imprinted_2022
BD55-2314,SARS convalescents,imprinted_2022
BD55-2413,SARS convalescents,imprinted_2022
BD55-2532,SARS convalescents,imprinted_2022
BD55-2696,SARS convalescents,imprinted_2022
BD55-300,WT vaccinees,imprinted_2022
BD55-302,WT vaccinees,imprinted_2022
BD55-311,WT vaccinees,imprinted_2022
BD55-3149,SARS convalescents,imprinted_2022
BD55-3150,SARS convalescents,imprinted_2022
BD55-3151,SARS convalescents,imprinted_2022
BD55-3152,SARS convalescents,imprinted_2022
BD55-316,WT vaccinees,imprinted_2022
BD55-3161,SARS convalescents,imprinted_2022
BD55-319,WT vaccinees,imprinted_2022
BD55-3293,SARS convalescents,imprinted_2022
BD55-3300,SARS convalescents,imprinted_2022
BD55-3304,SARS convalescents,imprinted_2022
BD55-3324,SARS convalescents,imprinted_2022
BD55-3327,SARS convalescents,imprinted_2022
BD55-3337,SARS convalescents,imprinted_2022
BD55-3366,SARS convalescents,imprinted_2022
BD55-3367,SARS convalescents,imprinted_2022
BD55-3370,SARS convalescents,imprinted_2022
BD55-3372,SARS convalescents,repeated_2023
BD55-3414,SARS convalescents,imprinted_2022
BD55-3417,SARS convalescents,imprinted_2022
BD55-3433,SARS convalescents,imprinted_2022
BD55-3440,SARS convalescents,imprinted_2022
BD55-3451,SARS convalescents,imprinted_2022
BD55-3457,SARS convalescents,imprinted_2022
BD55-347,WT vaccinees,imprinted_2022
BD55-3484,SARS convalescents,imprinted_2022
BD55-3485,SARS convalescents,imprinted_2022
BD55-3500,SARS convalescents,imprinted_2022
BD55-3525,SARS convalescents,imprinted_2022
BD55-3546,SARS convalescents,imprinted_2022
BD55-3549,SARS convalescents,imprinted_2022
BD55-3561,SARS convalescents,imprinted_2022
BD55-3597,SARS convalescents,imprinted_2022
BD55-3602,SARS convalescents,imprinted_2022
BD55-3611,SARS convalescents,imprinted_2022
BD55-3637,SARS convalescents,imprinted_2022
BD55-3670,SARS convalescents,imprinted_2022
BD55-3684,SARS convalescents,imprinted_2022
BD55-3698,SARS convalescents,imprinted_2022
BD55-3716,SARS convalescents,imprinted_2022
BD55-3721,SARS convalescents,imprinted_2022
BD55-3741,SARS convalescents,imprinted_2022
BD55-3773,SARS convalescents,imprinted_2022
BD55-3807,SARS convalescents,imprinted_2022
BD55-3832,SARS convalescents,imprinted_2022
BD55-387,WT vaccinees,imprinted_2022
BD55-389,WT vaccinees,imprinted_2022
BD55-4281,SARS convalescents,imprinted_2022
BD55-4285,SARS convalescents,imprinted_2022
BD55-4286,SARS convalescents,imprinted_2022
BD55-4325,SARS convalescents,imprinted_2022
BD55-4328,SARS convalescents,imprinted_2022
BD55-4329,SARS convalescents,imprinted_2022
BD55-4342,SARS convalescents,imprinted_2022
BD55-4343,SARS convalescents,imprinted_2022
BD55-4344,SARS convalescents,imprinted_2022
BD55-4345,SARS convalescents,imprinted_2022
BD55-4348,SARS convalescents,imprinted_2022
BD55-4351,SARS convalescents,imprinted_2022
BD55-4356,SARS convalescents,imprinted_2022
BD55-4357,SARS convalescents,imprinted_2022
BD55-4358,SARS convalescents,imprinted_2022
BD55-4359,SARS convalescents,imprinted_2022
BD55-4360,SARS convalescents,imprinted_2022
BD55-4364,SARS convalescents,imprinted_2022
BD55-4382,SARS convalescents,imprinted_2022
BD55-4392,SARS convalescents,imprinted_2022
BD55-4394,SARS convalescents,imprinted_2022
BD55-4397,SARS convalescents,imprinted_2022
BD55-44,WT vaccinees,imprinted_2022
BD55-4418,SARS convalescents,imprinted_2022
BD55-4464,SARS convalescents,imprinted_2022
BD55-4467,SARS convalescents,imprinted_2022
BD55-4483,SARS convalescents,imprinted_2022
BD55-4484,SARS convalescents,imprinted_2022
BD55-4495,SARS convalescents,imprinted_2022
BD55-4637,SARS convalescents,repeated_2023
BD55-4662,SARS convalescents,imprinted_2022
BD55-4664,SARS convalescents,imprinted_2022
BD55-4707,SARS convalescents,imprinted_2022
BD55-4760,SARS convalescents,imprinted_2022
BD55-4804,SARS convalescents,imprinted_2022
BD55-4892,SARS convalescents,imprinted_2022
BD55-5001,SARS convalescents,imprinted_2022
BD55-5163,SARS convalescents,imprinted_2022
BD55-5164,SARS convalescents,imprinted_2022
BD55-5166,SARS convalescents,imprinted_2022
BD55-5167,SARS convalescents,imprinted_2022
BD55-5168,SARS convalescents,imprinted_2022
BD55-5170,SARS convalescents,imprinted_2022
BD55-5171,SARS convalescents,imprinted_2022
BD55-5175,SARS convalescents,imprinted_2022
BD55-5176,SARS convalescents,imprinted_2022
BD55-5182,SARS convalescents,imprinted_2022
BD55-5183,SARS convalescents,imprinted_2022
BD55-5189,SARS convalescents,imprinted_2022
BD55-5195,SARS convalescents,imprinted_2022
BD55-5196,SARS convalescents,imprinted_2022
BD55-5198,SARS convalescents,imprinted_2022
BD55-5200,SARS convalescents,imprinted_2022
BD55-5201,SARS convalescents,imprinted_2022
BD55-5205,SARS convalescents,imprinted_2022
BD55-5212,SARS convalescents,imprinted_2022
BD55-5215,SARS convalescents,imprinted_2022
BD55-5219,SARS convalescents,imprinted_2022
BD55-5223,SARS convalescents,imprinted_2022
BD55-5226,SARS convalescents,imprinted_2022
BD55-5228,SARS convalescents,imprinted_2022
BD55-5233,SARS convalescents,imprinted_2022
BD55-5234,SARS convalescents,imprinted_2022
BD55-5236,SARS convalescents,imprinted_2022
BD55-5238,SARS convalescents,imprinted_2022
BD55-5239,SARS convalescents,imprinted_2022
BD55-5242,SARS convalescents,imprinted_2022
BD55-5245,SARS convalescents,imprinted_2022
BD55-5248,SARS convalescents,imprinted_2022
BD55-5250,SARS convalescents,imprinted_2022
BD55-5251,SARS convalescents,imprinted_2022
BD55-5256,SARS convalescents,imprinted_2022
BD55-5259,SARS convalescents,imprinted_2022
BD55-5263,SARS convalescents,imprinted_2022
BD55-5264,SARS convalescents,imprinted_2022
BD55-5265,SARS convalescents,imprinted_2022
BD55-5267,SARS convalescents,imprinted_2022
BD55-5268,SARS convalescents,imprinted_2022
BD55-5271,SARS convalescents,imprinted_2022
BD55-5276,SARS convalescents,imprinted_2022
BD55-5284,SARS convalescents,imprinted_2022
BD55-5286,SARS convalescents,imprinted_2022
BD55-5293,SARS convalescents,imprinted_2022
BD55-5296,SARS convalescents,imprinted_2022
BD55-5300,SARS convalescents,imprinted_2022
BD55-5301,SARS convalescents,imprinted_2022
BD55-5303,SARS convalescents,imprinted_2022
BD55-5304,SARS convalescents,imprinted_2022
BD55-5305,SARS convalescents,imprinted_2022
BD55-5309,SARS convalescents,imprinted_2022
BD55-5311,SARS convalescents,imprinted_2022
BD55-5319,SARS convalescents,imprinted_2022
BD55-5320,SARS convalescents,imprinted_2022
BD55-5323,SARS convalescents,imprinted_2022
BD55-5324,SARS convalescents,imprinted_2022
BD55-5325,SARS convalescents,imprinted_2022
BD55-5326,SARS convalescents,imprinted_2022
BD55-5327,SARS convalescents,imprinted_2022
BD55-5333,SARS convalescents,imprinted_2022
BD55-5339,SARS convalescents,imprinted_2022
BD55-5342,SARS convalescents,imprinted_2022
BD55-5343,SARS convalescents,imprinted_2022
BD55-5346,SARS convalescents,imprinted_2022
BD55-5354,SARS convalescents,imprinted_2022
BD55-5358,SARS convalescents,imprinted_2022
BD55-5359,SARS convalescents,imprinted_2022
BD55-5361,SARS convalescents,imprinted_2022
BD55-5365,SARS convalescents,imprinted_2022
BD55-5379,SARS convalescents,imprinted_2022
BD55-5380,SARS convalescents,imprinted_2022
BD55-5382,SARS convalescents,imprinted_2022
BD55-5384,SARS convalescents,imprinted_2022
BD55-5386,SARS convalescents,imprinted_2022
BD55-5387,SARS convalescents,imprinted_2022
BD55-5389,SARS convalescents,imprinted_2022
BD55-5395,SARS convalescents,imprinted_2022
BD55-5396,SARS convalescents,imprinted_2022
BD55-5397,SARS convalescents,imprinted_2022
BD55-5399,SARS convalescents,imprinted_2022
BD55-5400,SARS convalescents,imprinted_2022
BD55-5402,SARS convalescents,imprinted_2022
BD55-5404,SARS convalescents,imprinted_2022
BD55-5406,SARS convalescents,imprinted_2022
BD55-5408,SARS convalescents,imprinted_2022
BD55-5411,SARS convalescents,imprinted_2022
BD55-5413,SARS convalescents,imprinted_2022
BD55-5415,SARS convalescents,imprinted_2022
BD55-5416,SARS convalescents,imprinted_2022
BD55-5417,SARS convalescents,imprinted_2022
BD55-5418,SARS convalescents,imprinted_2022
BD55-5419,SARS convalescents,imprinted_2022
BD55-5425,SARS convalescents,imprinted_2022
BD55-5427,SARS convalescents,imprinted_2022
BD55-5431,SARS convalescents,imprinted_2022
BD55-5432,SARS convalescents,imprinted_2022
BD55-5435,SARS convalescents,imprinted_2022
BD55-5438,SARS convalescents,imprinted_2022
BD55-5442,SARS convalescents,imprinted_2022
BD55-5448,SARS convalescents,imprinted_2022
BD55-5449,SARS convalescents,imprinted_2022
BD55-5450,SARS convalescents,imprinted_2022
BD55-5453,SARS convalescents,imprinted_2022
BD55-5454,SARS convalescents,imprinted_2022
BD55-5456,SARS convalescents,imprinted_2022
BD55-5457,SARS convalescents,imprinted_2022
BD55-5459,SARS convalescents,imprinted_2022
BD55-5462,SARS convalescents,imprinted_2022
BD55-5463,SARS convalescents,imprinted_2022
BD55-5466,SARS convalescents,imprinted_2022
BD55-5467,SARS convalescents,imprinted_2022
BD55-5468,SARS convalescents,imprinted_2022
BD55-547,WT convalescents,imprinted_2022
BD55-5470,SARS convalescents,imprinted_2022
BD55-5471,SARS convalescents,imprinted_2022
BD55-5472,SARS convalescents,imprinted_2022
BD55-5473,SARS convalescents,imprinted_2022
BD55-5474,SARS convalescents,imprinted_2022
BD55-5476,SARS convalescents,imprinted_2022
BD55-5477,SARS convalescents,imprinted_2022
BD55-5483,SARS convalescents,repeated_2023
BD55-5484,SARS convalescents,imprinted_2022
BD55-5485,SARS convalescents,imprinted_2022
BD55-5486,SARS convalescents,imprinted_2022
BD55-5493,SARS convalescents,imprinted_2022
BD55-5495,SARS convalescents,imprinted_2022
BD55-5501,SARS convalescents,imprinted_2022
BD55-5502,SARS convalescents,imprinted_2022
BD55-5505,SARS convalescents,imprinted_2022
BD55-5512,SARS convalescents,imprinted_2022
BD55-5514,SARS convalescents,repeated_2023
BD55-5516,SARS convalescents,imprinted_2022
BD55-5517,SARS convalescents,imprinted_2022
BD55-5519,SARS convalescents,imprinted_2022
BD55-5521,SARS convalescents,imprinted_2022
BD55-5524,SARS convalescents,imprinted_2022
BD55-5526,SARS convalescents,imprinted_2022
BD55-5530,SARS convalescents,imprinted_2022
BD55-5537,SARS convalescents,imprinted_2022
BD55-5540,SARS convalescents,imprinted_2022
BD55-5542,SARS convalescents,imprinted_2022
BD55-5543,SARS convalescents,imprinted_2022
BD55-5545,SARS convalescents,imprinted_2022
BD55-5549,SARS convalescents,imprinted_2022
BD55-5550,SARS convalescents,imprinted_2022
BD55-5551,SARS convalescents,imprinted_2022
BD55-5555,SARS convalescents,imprinted_2022
BD55-5557,SARS convalescents,imprinted_2022
BD55-5558,SARS convalescents,imprinted_2022
BD55-556,WT convalescents,imprinted_2022
BD55-5564,SARS convalescents,imprinted_2022
BD55-5565,SARS convalescents,imprinted_2022
BD55-5566,SARS convalescents,imprinted_2022
BD55-5568,SARS convalescents,imprinted_2022
BD55-5569,SARS convalescents,imprinted_2022
BD55-557,WT convalescents,imprinted_2022
BD55-5575,SARS convalescents,imprinted_2022
BD55-5577,SARS convalescents,imprinted_2022
BD55-5579,SARS convalescents,imprinted_2022
BD55-5580,SARS convalescents,imprinted_2022
BD55-5581,SARS convalescents,imprinted_2022
BD55-5583,SARS convalescents,imprinted_2022
BD55-5585,SARS convalescents,imprinted_2022
BD55-5588,SARS convalescents,imprinted_2022
BD55-5589,SARS convalescents,imprinted_2022
BD55-5591,SARS convalescents,imprinted_2022
BD55-5593,SARS convalescents,imprinted_2022
BD55-5594,SARS convalescents,imprinted_2022
BD55-5598,SARS convalescents,imprinted_2022
BD55-5599,SARS convalescents,imprinted_2022
BD55-5609,SARS convalescents,imprinted_2022
BD55-5610,SARS convalescents,imprinted_2022
BD55-5612,SARS convalescents,imprinted_2022
BD55-5615,SARS convalescents,imprinted_2022
BD55-5617,SARS convalescents,imprinted_2022
BD55-5620,SARS convalescents,imprinted_2022
BD55-5623,SARS convalescents,imprinted_2022
BD55-5625,SARS convalescents,imprinted_2022
BD55-5629,SARS convalescents,imprinted_2022
BD55-5630,SARS convalescents,imprinted_2022
BD55-5631,SARS convalescents,imprinted_2022
BD55-5634,SARS convalescents,imprinted_2022
BD55-5636,SARS convalescents,imprinted_2022
BD55-5638,SARS convalescents,imprinted_2022
BD55-5640,SARS convalescents,imprinted_2022
BD55-5643,SARS convalescents,imprinted_2022
BD55-5644,SARS convalescents,imprinted_2022
BD55-5649,SARS convalescents,imprinted_2022
BD55-5655,SARS convalescents,imprinted_2022
BD55-5659,SARS convalescents,imprinted_2022
BD55-5662,SARS convalescents,imprinted_2022
BD55-5675,SARS convalescents,imprinted_2022
BD55-5676,SARS convalescents,imprinted_2022
BD55-5687,SARS convalescents,imprinted_2022
BD55-5689,SARS convalescents,imprinted_2022
BD55-5690,SARS convalescents,imprinted_2022
BD55-5693,SARS convalescents,imprinted_2022
BD55-5694,SARS convalescents,imprinted_2022
BD55-5697,SARS convalescents,imprinted_2022
BD55-5699,SARS convalescents,imprinted_2022
BD55-5700,SARS convalescents,imprinted_2022
BD55-5713,SARS convalescents,imprinted_2022
BD55-5715,SARS convalescents,imprinted_2022
BD55-5718,SARS convalescents,imprinted_2022
BD55-5721,SARS convalescents,imprinted_2022
BD55-5728,SARS convalescents,imprinted_2022
BD55-5731,SARS convalescents,imprinted_2022
BD55-5733,SARS convalescents,imprinted_2022
BD55-5736,SARS convalescents,imprinted_2022
BD55-5737,SARS convalescents,imprinted_2022
BD55-5741,SARS convalescents,imprinted_2022
BD55-5743,SARS convalescents,imprinted_2022
BD55-5745,SARS convalescents,imprinted_2022
BD55-5747,SARS convalescents,imprinted_2022
BD55-5748,SARS convalescents,imprinted_2022
BD55-5752,SARS convalescents,imprinted_2022
BD55-5753,SARS convalescents,imprinted_2022
BD55-5761,SARS convalescents,imprinted_2022
BD55-5765,SARS convalescents,imprinted_2022
BD55-5770,SARS convalescents,imprinted_2022
BD55-5771,SARS convalescents,imprinted_2022
BD55-5774,SARS convalescents,imprinted_2022
BD55-5775,SARS convalescents,imprinted_2022
BD55-5779,SARS convalescents,imprinted_2022
BD55-5784,SARS convalescents,imprinted_2022
BD55-5785,SARS convalescents,imprinted_2022
BD55-5789,SARS convalescents,imprinted_2022
BD55-5790,SARS convalescents,imprinted_2022
BD55-5792,SARS convalescents,imprinted_2022
BD55-5794,SARS convalescents,imprinted_2022
BD55-5806,SARS convalescents,imprinted_2022
BD55-5810,SARS convalescents,imprinted_2022
BD55-5811,SARS convalescents,imprinted_2022
BD55-5815,SARS convalescents,imprinted_2022
BD55-583,WT convalescents,imprinted_2022
BD55-5830,SARS convalescents,imprinted_2022
BD55-5831,SARS convalescents,imprinted_2022
BD55-5832,SARS convalescents,imprinted_2022
BD55-5836,SARS convalescents,imprinted_2022
BD55-5839,SARS convalescents,imprinted_2022
BD55-5840,SARS convalescents,repeated_2023
BD55-5844,SARS convalescents,imprinted_2022
BD55-5847,SARS convalescents,imprinted_2022
BD55-5853,SARS convalescents,imprinted_2022
BD55-5854,SARS convalescents,imprinted_2022
BD55-5856,SARS convalescents,imprinted_2022
BD55-5858,SARS convalescents,imprinted_2022
BD55-5865,SARS convalescents,imprinted_2022
BD55-5866,SARS convalescents,imprinted_2022
BD55-587,WT convalescents,imprinted_2022
BD55-5874,SARS convalescents,imprinted_2022
BD55-5876,SARS convalescents,imprinted_2022
BD55-5877,SARS convalescents,imprinted_2022
BD55-5878,SARS convalescents,imprinted_2022
BD55-5879,SARS convalescents,imprinted_2022
BD55-5880,SARS convalescents,imprinted_2022
BD55-5882,SARS convalescents,imprinted_2022
BD55-5884,SARS convalescents,imprinted_2022
BD55-5885,SARS convalescents,imprinted_2022
BD55-5886,SARS convalescents,imprinted_2022
BD55-5887,SARS convalescents,imprinted_2022
BD55-5889,SARS convalescents,imprinted_2022
BD55-5891,SARS convalescents,imprinted_2022
BD55-5892,SARS convalescents,imprinted_2022
BD55-5895,SARS convalescents,imprinted_2022
BD55-5896,SARS convalescents,imprinted_2022
BD55-5897,SARS convalescents,imprinted_2022
