antibody,binds
BD55-1087,Wuhan-Hu-1
BD55-1091,Omicron BA.2/BA.5
BD55-1091,Wuhan-Hu-1
BD55-1092,Omicron BA.2/BA.5
BD55-1092,Wuhan-Hu-1
BD55-1093,Omicron BA.2/BA.5
BD55-1093,Wuhan-Hu-1
BD55-1096,Omicron BA.2/BA.5
BD55-1096,Wuhan-Hu-1
BD55-1104,Omicron BA.2/BA.5
BD55-1104,Wuhan-Hu-1
BD55-1109,Omicron BA.2/BA.5
BD55-1109,Wuhan-Hu-1
BD55-1114,Omicron BA.2/BA.5
BD55-1114,Wuhan-Hu-1
BD55-1117,Omicron BA.2/BA.5
BD55-1117,Wuhan-Hu-1
BD55-1128,Omicron BA.2/BA.5
BD55-1128,Wuhan-Hu-1
BD55-1129,Omicron BA.2/BA.5
BD55-1129,Wuhan-Hu-1
BD55-1132,Omicron BA.2/BA.5
BD55-1132,Wuhan-Hu-1
BD55-1136,Omicron BA.2/BA.5
BD55-1136,Wuhan-Hu-1
BD55-1140,Omicron BA.2/BA.5
BD55-1140,Wuhan-Hu-1
BD55-1141,Omicron BA.2/BA.5
BD55-1141,Wuhan-Hu-1
BD55-1144,Omicron BA.2/BA.5
BD55-1144,Wuhan-Hu-1
BD55-1145,Omicron BA.2/BA.5
BD55-1145,Wuhan-Hu-1
BD55-1146,Omicron BA.2/BA.5
BD55-1146,Wuhan-Hu-1
BD55-1162,Omicron BA.2/BA.5
BD55-1162,Wuhan-Hu-1
BD55-1171,Omicron BA.2/BA.5
BD55-1171,Wuhan-Hu-1
BD55-1177,Omicron BA.2/BA.5
BD55-1177,Wuhan-Hu-1
BD55-1179,Omicron BA.2/BA.5
BD55-1179,Wuhan-Hu-1
BD55-1180,Omicron BA.2/BA.5
BD55-1180,Wuhan-Hu-1
BD55-1192,Omicron BA.2/BA.5
BD55-1192,Wuhan-Hu-1
BD55-1199,Omicron BA.2/BA.5
BD55-1199,Wuhan-Hu-1
BD55-1201,Omicron BA.2/BA.5
BD55-1201,Wuhan-Hu-1
BD55-1205,Omicron BA.2/BA.5
BD55-1205,Wuhan-Hu-1
BD55-1208,Omicron BA.2/BA.5
BD55-1208,Wuhan-Hu-1
BD55-1211,Omicron BA.2/BA.5
BD55-1211,Wuhan-Hu-1
BD55-1214,Omicron BA.2/BA.5
BD55-1214,Wuhan-Hu-1
BD55-1223,Omicron BA.2/BA.5
BD55-1223,Wuhan-Hu-1
BD55-1225,Omicron BA.2/BA.5
BD55-1225,Wuhan-Hu-1
BD55-1226,Omicron BA.2/BA.5
BD55-1226,Wuhan-Hu-1
BD55-1232,Omicron BA.2/BA.5
BD55-1232,Wuhan-Hu-1
BD55-1233,Omicron BA.2/BA.5
BD55-1233,Wuhan-Hu-1
BD55-1237,Omicron BA.2/BA.5
BD55-1237,Wuhan-Hu-1
BD55-1239,Omicron BA.2/BA.5
BD55-1239,Wuhan-Hu-1
BD55-1241,Omicron BA.2/BA.5
BD55-1241,Wuhan-Hu-1
BD55-1242,Omicron BA.2/BA.5
BD55-1242,Wuhan-Hu-1
BD55-1244,Omicron BA.2/BA.5
BD55-1244,Wuhan-Hu-1
BD55-1245,Omicron BA.2/BA.5
BD55-1245,Wuhan-Hu-1
BD55-1249,Omicron BA.2/BA.5
BD55-1249,Wuhan-Hu-1
BD55-1251,Omicron BA.2/BA.5
BD55-1251,Wuhan-Hu-1
BD55-1256,Omicron BA.2/BA.5
BD55-1256,Wuhan-Hu-1
BD55-1257,Omicron BA.2/BA.5
BD55-1257,Wuhan-Hu-1
BD55-1263,Omicron BA.2/BA.5
BD55-1263,Wuhan-Hu-1
BD55-1266,Omicron BA.2/BA.5
BD55-1266,Wuhan-Hu-1
BD55-1268,Omicron BA.2/BA.5
BD55-1268,Wuhan-Hu-1
BD55-1270,Omicron BA.2/BA.5
BD55-1270,Wuhan-Hu-1
BD55-1273,Omicron BA.2/BA.5
BD55-1273,Wuhan-Hu-1
BD55-1274,Omicron BA.2/BA.5
BD55-1274,Wuhan-Hu-1
BD55-1275,Omicron BA.2/BA.5
BD55-1275,Wuhan-Hu-1
BD55-1278,Omicron BA.2/BA.5
BD55-1278,Wuhan-Hu-1
BD55-1284,Omicron BA.2/BA.5
BD55-1284,Wuhan-Hu-1
BD55-1294,Omicron BA.2/BA.5
BD55-1294,Wuhan-Hu-1
BD55-1297,Omicron BA.2/BA.5
BD55-1297,Wuhan-Hu-1
BD55-1307,Omicron BA.2/BA.5
BD55-1307,Wuhan-Hu-1
BD55-1312,Omicron BA.2/BA.5
BD55-1312,Wuhan-Hu-1
BD55-1315,Omicron BA.2/BA.5
BD55-1315,Wuhan-Hu-1
BD55-1323,Omicron BA.2/BA.5
BD55-1323,Wuhan-Hu-1
BD55-1332,Omicron BA.2/BA.5
BD55-1332,Wuhan-Hu-1
BD55-1334,Omicron BA.2/BA.5
BD55-1334,Wuhan-Hu-1
BD55-1338,Omicron BA.2/BA.5
BD55-1338,Wuhan-Hu-1
BD55-1339,Omicron BA.2/BA.5
BD55-1339,Wuhan-Hu-1
BD55-1341,Omicron BA.2/BA.5
BD55-1341,Wuhan-Hu-1
BD55-1343,Omicron BA.2/BA.5
BD55-1343,Wuhan-Hu-1
BD55-1345,Omicron BA.2/BA.5
BD55-1345,Wuhan-Hu-1
BD55-1346,Omicron BA.2/BA.5
BD55-1346,Wuhan-Hu-1
BD55-1354,Omicron BA.2/BA.5
BD55-1354,Wuhan-Hu-1
BD55-1374,Omicron BA.2/BA.5
BD55-1374,Wuhan-Hu-1
BD55-1376,Omicron BA.2/BA.5
BD55-1376,Wuhan-Hu-1
BD55-1381,Omicron BA.2/BA.5
BD55-1381,Wuhan-Hu-1
BD55-1391,Omicron BA.2/BA.5
BD55-1391,Wuhan-Hu-1
BD55-1396,Omicron BA.2/BA.5
BD55-1396,Wuhan-Hu-1
BD55-1398,Omicron BA.2/BA.5
BD55-1398,Wuhan-Hu-1
BD55-1403,Omicron BA.2/BA.5
BD55-1403,Wuhan-Hu-1
BD55-1405,Omicron BA.2/BA.5
BD55-1405,Wuhan-Hu-1
BD55-1411,Omicron BA.2/BA.5
BD55-1411,Wuhan-Hu-1
BD55-1412,Omicron BA.2/BA.5
BD55-1412,Wuhan-Hu-1
BD55-1416,Omicron BA.2/BA.5
BD55-1416,Wuhan-Hu-1
BD55-1421,Omicron BA.2/BA.5
BD55-1421,Wuhan-Hu-1
BD55-1429,Omicron BA.2/BA.5
BD55-1429,Wuhan-Hu-1
BD55-1432,Omicron BA.2/BA.5
BD55-1432,Wuhan-Hu-1
BD55-1435,Omicron BA.2/BA.5
BD55-1435,Wuhan-Hu-1
BD55-1442,Omicron BA.2/BA.5
BD55-1442,Wuhan-Hu-1
BD55-1445,Omicron BA.2/BA.5
BD55-1445,Wuhan-Hu-1
BD55-1450,Omicron BA.2/BA.5
BD55-1450,Wuhan-Hu-1
BD55-1451,Omicron BA.2/BA.5
BD55-1451,Wuhan-Hu-1
BD55-1453,Omicron BA.2/BA.5
BD55-1453,Wuhan-Hu-1
BD55-1456,Omicron BA.2/BA.5
BD55-1456,Wuhan-Hu-1
BD55-1458,Omicron BA.2/BA.5
BD55-1458,Wuhan-Hu-1
BD55-1464,Omicron BA.2/BA.5
BD55-1464,Wuhan-Hu-1
BD55-1472,Omicron BA.2/BA.5
BD55-1472,Wuhan-Hu-1
BD55-1486,Omicron BA.2/BA.5
BD55-1486,Wuhan-Hu-1
BD55-1499,Omicron BA.2/BA.5
BD55-1499,Wuhan-Hu-1
BD55-1502,Omicron BA.2/BA.5
BD55-1502,Wuhan-Hu-1
BD55-1503,Omicron BA.2/BA.5
BD55-1503,Wuhan-Hu-1
BD55-1507,Omicron BA.2/BA.5
BD55-1507,Wuhan-Hu-1
BD55-1508,Omicron BA.2/BA.5
BD55-1508,Wuhan-Hu-1
BD55-1558,Omicron BA.2/BA.5
BD55-1558,Wuhan-Hu-1
BD55-1570,Omicron BA.2/BA.5
BD55-1570,Wuhan-Hu-1
BD55-1575,Omicron BA.2/BA.5
BD55-1575,Wuhan-Hu-1
BD55-1576,Omicron BA.2/BA.5
BD55-1576,Wuhan-Hu-1
BD55-1579,Omicron BA.2/BA.5
BD55-1579,Wuhan-Hu-1
BD55-1604,Omicron BA.2/BA.5
BD55-1604,Wuhan-Hu-1
BD55-1694,Omicron BA.2/BA.5
BD55-1694,Wuhan-Hu-1
BD55-1706,Omicron BA.2/BA.5
BD55-1706,Wuhan-Hu-1
BD55-1723,Omicron BA.2/BA.5
BD55-1723,Wuhan-Hu-1
BD55-1763,Omicron BA.2/BA.5
BD55-1763,Wuhan-Hu-1
BD55-1779,Omicron BA.2/BA.5
BD55-1779,Wuhan-Hu-1
BD55-1789,Omicron BA.2/BA.5
BD55-1789,Wuhan-Hu-1
BD55-1809,Omicron BA.2/BA.5
BD55-1809,Wuhan-Hu-1
BD55-1811,Omicron BA.2/BA.5
BD55-1811,Wuhan-Hu-1
BD55-1831,Omicron BA.2/BA.5
BD55-1831,Wuhan-Hu-1
BD55-1868,Omicron BA.2/BA.5
BD55-1868,Wuhan-Hu-1
BD55-1957,Omicron BA.2/BA.5
BD55-1957,Wuhan-Hu-1
BD55-1962,Omicron BA.2/BA.5
BD55-1962,Wuhan-Hu-1
BD55-1970,Omicron BA.2/BA.5
BD55-1970,Wuhan-Hu-1
BD55-199,Omicron BA.2/BA.5
BD55-199,Wuhan-Hu-1
BD55-2101,Omicron BA.2/BA.5
BD55-2101,Wuhan-Hu-1
BD55-2314,Omicron BA.2/BA.5
BD55-2314,Wuhan-Hu-1
BD55-2413,Omicron BA.2/BA.5
BD55-2413,Wuhan-Hu-1
BD55-2532,Omicron BA.2/BA.5
BD55-2532,Wuhan-Hu-1
BD55-2696,Omicron BA.2/BA.5
BD55-2696,Wuhan-Hu-1
BD55-300,Omicron BA.2/BA.5
BD55-300,Wuhan-Hu-1
BD55-302,Omicron BA.2/BA.5
BD55-302,Wuhan-Hu-1
BD55-311,Omicron BA.2/BA.5
BD55-311,Wuhan-Hu-1
BD55-3149,Omicron BA.2/BA.5
BD55-3149,Wuhan-Hu-1
BD55-3150,Omicron BA.2/BA.5
BD55-3150,Wuhan-Hu-1
BD55-3151,Omicron BA.2/BA.5
BD55-3151,Wuhan-Hu-1
BD55-3152,Omicron BA.2/BA.5
BD55-3152,Wuhan-Hu-1
BD55-316,Omicron BA.2/BA.5
BD55-316,Wuhan-Hu-1
BD55-3161,Omicron BA.2/BA.5
BD55-3161,Wuhan-Hu-1
BD55-319,Omicron BA.2/BA.5
BD55-319,Wuhan-Hu-1
BD55-3293,Omicron BA.2/BA.5
BD55-3293,Wuhan-Hu-1
BD55-3300,Omicron BA.2/BA.5
BD55-3300,Wuhan-Hu-1
BD55-3304,Omicron BA.2/BA.5
BD55-3304,Wuhan-Hu-1
BD55-3324,Omicron BA.2/BA.5
BD55-3324,Wuhan-Hu-1
BD55-3327,Omicron BA.2/BA.5
BD55-3327,Wuhan-Hu-1
BD55-3337,Omicron BA.2/BA.5
BD55-3337,Wuhan-Hu-1
BD55-3366,Omicron BA.2/BA.5
BD55-3366,Wuhan-Hu-1
BD55-3367,Omicron BA.2/BA.5
BD55-3367,Wuhan-Hu-1
BD55-3370,Omicron BA.2/BA.5
BD55-3370,Wuhan-Hu-1
BD55-3372,Omicron BA.2/BA.5
BD55-3372,Wuhan-Hu-1
BD55-3414,Omicron BA.2/BA.5
BD55-3414,Wuhan-Hu-1
BD55-3417,Omicron BA.2/BA.5
BD55-3417,Wuhan-Hu-1
BD55-3433,Omicron BA.2/BA.5
BD55-3433,Wuhan-Hu-1
BD55-3440,Omicron BA.2/BA.5
BD55-3440,Wuhan-Hu-1
BD55-3451,Omicron BA.2/BA.5
BD55-3451,Wuhan-Hu-1
BD55-3457,Omicron BA.2/BA.5
BD55-3457,Wuhan-Hu-1
BD55-347,Omicron BA.2/BA.5
BD55-347,Wuhan-Hu-1
BD55-3484,Omicron BA.2/BA.5
BD55-3484,Wuhan-Hu-1
BD55-3485,Omicron BA.2/BA.5
BD55-3485,Wuhan-Hu-1
BD55-3500,Omicron BA.2/BA.5
BD55-3500,Wuhan-Hu-1
BD55-3525,Omicron BA.2/BA.5
BD55-3525,Wuhan-Hu-1
BD55-3546,Omicron BA.2/BA.5
BD55-3546,Wuhan-Hu-1
BD55-3549,Omicron BA.2/BA.5
BD55-3549,Wuhan-Hu-1
BD55-3561,Omicron BA.2/BA.5
BD55-3561,Wuhan-Hu-1
BD55-3597,Omicron BA.2/BA.5
BD55-3597,Wuhan-Hu-1
BD55-3602,Omicron BA.2/BA.5
BD55-3602,Wuhan-Hu-1
BD55-3611,Omicron BA.2/BA.5
BD55-3611,Wuhan-Hu-1
BD55-3637,Omicron BA.2/BA.5
BD55-3637,Wuhan-Hu-1
BD55-3670,Omicron BA.2/BA.5
BD55-3670,Wuhan-Hu-1
BD55-3684,Omicron BA.2/BA.5
BD55-3684,Wuhan-Hu-1
BD55-3698,Omicron BA.2/BA.5
BD55-3698,Wuhan-Hu-1
BD55-3716,Omicron BA.2/BA.5
BD55-3716,Wuhan-Hu-1
BD55-3721,Omicron BA.2/BA.5
BD55-3721,Wuhan-Hu-1
BD55-3741,Omicron BA.2/BA.5
BD55-3741,Wuhan-Hu-1
BD55-3773,Omicron BA.2/BA.5
BD55-3773,Wuhan-Hu-1
BD55-3807,Omicron BA.2/BA.5
BD55-3807,Wuhan-Hu-1
BD55-3832,Omicron BA.2/BA.5
BD55-3832,Wuhan-Hu-1
BD55-387,Omicron BA.2/BA.5
BD55-387,Wuhan-Hu-1
BD55-389,Omicron BA.2/BA.5
BD55-389,Wuhan-Hu-1
BD55-4281,Omicron BA.2/BA.5
BD55-4281,Wuhan-Hu-1
BD55-4285,Omicron BA.2/BA.5
BD55-4285,Wuhan-Hu-1
BD55-4286,Omicron BA.2/BA.5
BD55-4286,Wuhan-Hu-1
BD55-4325,Omicron BA.2/BA.5
BD55-4325,Wuhan-Hu-1
BD55-4328,Omicron BA.2/BA.5
BD55-4328,Wuhan-Hu-1
BD55-4329,Omicron BA.2/BA.5
BD55-4329,Wuhan-Hu-1
BD55-4342,Omicron BA.2/BA.5
BD55-4342,Wuhan-Hu-1
BD55-4343,Omicron BA.2/BA.5
BD55-4343,Wuhan-Hu-1
BD55-4344,Omicron BA.2/BA.5
BD55-4344,Wuhan-Hu-1
BD55-4345,Omicron BA.2/BA.5
BD55-4345,Wuhan-Hu-1
BD55-4348,Omicron BA.2/BA.5
BD55-4348,Wuhan-Hu-1
BD55-4351,Omicron BA.2/BA.5
BD55-4351,Wuhan-Hu-1
BD55-4356,Omicron BA.2/BA.5
BD55-4356,Wuhan-Hu-1
BD55-4357,Omicron BA.2/BA.5
BD55-4357,Wuhan-Hu-1
BD55-4358,Omicron BA.2/BA.5
BD55-4358,Wuhan-Hu-1
BD55-4359,Omicron BA.2/BA.5
BD55-4359,Wuhan-Hu-1
BD55-4360,Omicron BA.2/BA.5
BD55-4360,Wuhan-Hu-1
BD55-4364,Omicron BA.2/BA.5
BD55-4364,Wuhan-Hu-1
BD55-4382,Omicron BA.2/BA.5
BD55-4382,Wuhan-Hu-1
BD55-4392,Omicron BA.2/BA.5
BD55-4392,Wuhan-Hu-1
BD55-4394,Omicron BA.2/BA.5
BD55-4394,Wuhan-Hu-1
BD55-4397,Omicron BA.2/BA.5
BD55-4397,Wuhan-Hu-1
BD55-44,Omicron BA.2/BA.5
BD55-44,Wuhan-Hu-1
BD55-4418,Omicron BA.2/BA.5
BD55-4418,Wuhan-Hu-1
BD55-4464,Omicron BA.2/BA.5
BD55-4464,Wuhan-Hu-1
BD55-4467,Omicron BA.2/BA.5
BD55-4467,Wuhan-Hu-1
BD55-4483,Omicron BA.2/BA.5
BD55-4483,Wuhan-Hu-1
BD55-4484,Omicron BA.2/BA.5
BD55-4484,Wuhan-Hu-1
BD55-4495,Omicron BA.2/BA.5
BD55-4495,Wuhan-Hu-1
BD55-4637,Omicron BA.2/BA.5
BD55-4637,Wuhan-Hu-1
BD55-4662,Omicron BA.2/BA.5
BD55-4662,Wuhan-Hu-1
BD55-4664,Omicron BA.2/BA.5
BD55-4664,Wuhan-Hu-1
BD55-4707,Omicron BA.2/BA.5
BD55-4707,Wuhan-Hu-1
BD55-4760,Omicron BA.2/BA.5
BD55-4760,Wuhan-Hu-1
BD55-4804,Omicron BA.2/BA.5
BD55-4804,Wuhan-Hu-1
BD55-4892,Omicron BA.2/BA.5
BD55-4892,Wuhan-Hu-1
BD55-5001,Omicron BA.2/BA.5
BD55-5001,Wuhan-Hu-1
BD55-5163,Omicron BA.2/BA.5
BD55-5163,Wuhan-Hu-1
BD55-5164,Omicron BA.2/BA.5
BD55-5164,Wuhan-Hu-1
BD55-5166,Omicron BA.2/BA.5
BD55-5166,Wuhan-Hu-1
BD55-5167,Omicron BA.2/BA.5
BD55-5167,Wuhan-Hu-1
BD55-5168,Omicron BA.2/BA.5
BD55-5168,Wuhan-Hu-1
BD55-5170,Omicron BA.2/BA.5
BD55-5170,Wuhan-Hu-1
BD55-5171,Omicron BA.2/BA.5
BD55-5171,Wuhan-Hu-1
